,district,rooms,size,level,max_levels,price
224,Chilonzor,1,35.0,1,4,23800.0
225,Chilonzor,2,44.0,3,4,32900.0
226,Yangihayot,2,61.0,3,7,36000.0
227,Yashnobod,4,100.0,2,9,65000.0
228,Chilonzor,1,35.0,1,4,29800.0
229,Mirzo-Ulugbek,4,86.0,3,5,63000.0
230,Mirzo-Ulugbek,3,100.0,1,5,80000.0
231,Olmazor,5,110.0,5,5,63500.0
232,Mirobod,3,75.0,6,9,110000.0
233,Olmazor,3,70.0,1,5,62000.0
234,Shayxontohur,3,70.0,4,5,36999.0
235,Yakkasaroy,3,150.0,3,6,170000.0
236,Sergeli,2,56.1,7,7,37000.0
237,Yunusobod,4,83.0,3,5,54000.0
238,Uchtepa,2,49.0,4,4,23000.0
239,Chilonzor,2,46.0,2,4,38500.0
240,Chilonzor,2,46.0,4,4,36200.0
241,Chilonzor,3,68.0,4,4,45000.0
242,Chilonzor,3,65.0,1,5,45000.0
243,Chilonzor,4,76.0,4,4,43000.0
244,Chilonzor,1,42.0,2,5,26000.0
245,Chilonzor,2,55.0,1,4,67000.0
246,Chilonzor,4,76.0,5,5,45500.0
247,Chilonzor,2,49.0,2,6,47000.0
248,Chilonzor,4,80.0,2,4,70000.0
249,Chilonzor,5,142.0,5,5,120000.0
250,Chilonzor,3,60.0,3,4,44000.0
251,Mirzo-Ulugbek,3,72.0,4,5,47000.0
252,Mirobod,4,115.0,6,9,84000.0
253,Yashnobod,4,100.0,2,3,77000.0
254,Mirzo-Ulugbek,2,63.0,5,5,35000.0
255,Mirzo-Ulugbek,3,66.0,3,5,56000.0
256,Mirzo-Ulugbek,3,70.0,5,5,46500.0
257,Mirzo-Ulugbek,3,62.0,5,5,35000.0
258,Chilonzor,2,50.0,1,4,34000.0
259,Yunusobod,3,78.0,4,4,56000.0
260,Mirobod,2,62.0,2,9,63000.0
262,Yashnobod,3,63.0,4,4,40000.0
263,Mirzo-Ulugbek,4,91.0,1,5,75000.0
264,Shayxontohur,3,81.0,6,9,54900.0
265,Mirzo-Ulugbek,4,86.0,3,4,42000.0
266,Mirzo-Ulugbek,2,54.0,3,5,54500.0
267,Mirobod,3,90.0,3,5,105000.0
268,Mirzo-Ulugbek,2,40.0,2,5,37000.0
269,Yunusobod,1,45.0,5,5,24000.0
270,Olmazor,3,89.55,7,9,40000.0
271,Mirzo-Ulugbek,4,92.0,3,5,67000.0
272,Yakkasaroy,3,100.0,3,4,1000.0
273,Mirzo-Ulugbek,4,95.0,1,4,77000.0
274,Mirzo-Ulugbek,4,102.0,4,9,65000.0
275,Olmazor,2,65.0,5,9,31300.0
276,Mirzo-Ulugbek,2,62.0,5,5,33500.0
277,Olmazor,2,56.0,3,5,38500.0
278,Mirzo-Ulugbek,2,59.0,2,8,41500.0
279,Chilonzor,3,96.0,6,9,64500.0
280,Yashnobod,1,37.0,4,8,13075.0
281,Yakkasaroy,2,70.0,8,9,48000.0
282,Mirobod,2,78.0,4,8,77000.0
283,Yakkasaroy,4,145.0,7,8,115000.0
284,Mirzo-Ulugbek,3,100.0,2,5,128000.0
285,Yashnobod,2,54.0,4,4,33000.0
286,Mirobod,3,70.0,2,4,66000.0
287,Yakkasaroy,5,116.0,3,5,80000.0
288,Chilonzor,3,72.0,8,9,37700.0
289,Shayxontohur,1,70.0,6,7,60000.0
290,Mirzo-Ulugbek,2,60.0,9,9,28500.0
291,Chilonzor,2,52.0,4,5,38000.0
292,Yakkasaroy,3,95.0,7,8,65000.0
293,Chilonzor,2,44.0,1,4,38000.0
294,Chilonzor,2,42.0,3,4,36500.0
295,Chilonzor,2,43.0,2,4,36500.0
296,Chilonzor,3,77.0,5,5,95000.0
297,Chilonzor,1,24.0,3,4,20000.0
298,Chilonzor,1,30.0,1,4,26000.0
299,Chilonzor,2,41.0,1,4,36000.0
300,Yunusobod,2,46.0,2,4,36000.0
301,Chilonzor,2,42.0,2,4,36500.0
302,Yunusobod,2,51.0,3,4,45000.0
303,Uchtepa,3,62.0,5,5,33500.0
304,Yashnobod,1,50.0,5,12,25000.0
305,Yunusobod,4,107.0,6,9,75500.0
308,Olmazor,1,38.0,6,9,27500.0
310,Yakkasaroy,4,110.0,7,9,75000.0
311,Olmazor,2,55.62,5,9,31000.0
312,Sergeli,2,66.0,8,9,31507.0
313,Yakkasaroy,2,53.0,3,5,54000.0
314,Olmazor,4,119.0,2,5,110000.0
315,Mirzo-Ulugbek,2,56.0,1,4,35000.0
316,Mirzo-Ulugbek,3,68.0,4,4,24000.0
317,Mirobod,3,125.0,7,12,129999.0
318,Yakkasaroy,4,140.0,8,10,105000.0
319,Yakkasaroy,4,141.0,7,7,95000.0
320,Uchtepa,4,74.0,4,4,47500.0
321,Mirzo-Ulugbek,2,63.0,5,5,34997.0
322,Uchtepa,2,41.0,4,4,32000.0
323,Mirobod,2,52.0,3,5,37000.0
324,Chilonzor,3,68.0,3,4,39000.0
325,Mirobod,4,110.0,1,4,63500.0
326,Mirzo-Ulugbek,2,60.0,6,9,35500.0
327,Chilonzor,1,54.0,9,9,35000.0
328,Mirzo-Ulugbek,2,60.0,5,5,35000.0
330,Chilonzor,2,46.0,3,4,37500.0
331,Chilonzor,4,94.0,4,5,73000.0
332,Chilonzor,2,58.0,1,9,40000.0
333,Mirzo-Ulugbek,4,92.0,3,5,62000.0
334,Chilonzor,3,70.0,3,4,55000.0
335,Chilonzor,2,42.0,4,4,37400.0
336,Chilonzor,2,42.0,4,4,35800.0
337,Chilonzor,2,75.0,4,12,60000.0
338,Yunusobod,3,72.0,1,9,100000.0
339,Uchtepa,3,85.0,7,9,52500.0
340,Yunusobod,2,65.0,5,9,44000.0
341,Chilonzor,2,65.0,9,9,56600.0
342,Chilonzor,2,46.0,3,4,42000.0
343,Mirzo-Ulugbek,2,60.94,9,9,36542.0
346,Yashnobod,2,59.0,4,4,26500.0
347,Mirzo-Ulugbek,2,66.82,5,7,65000.0
348,Chilonzor,5,98.0,5,9,70000.0
349,Mirzo-Ulugbek,2,48.0,1,4,34499.0
350,Uchtepa,3,92.0,8,9,46000.0
351,Mirobod,4,128.0,1,7,87000.0
352,Mirobod,2,56.0,2,5,37500.0
353,Yashnobod,1,45.0,1,5,36500.0
354,Chilonzor,3,70.0,2,4,48000.0
355,Uchtepa,2,56.0,2,5,37500.0
356,Mirzo-Ulugbek,4,95.0,1,5,78000.0
357,Mirobod,2,100.0,8,9,150000.0
358,Mirzo-Ulugbek,4,97.0,5,5,80000.0
359,Mirzo-Ulugbek,4,130.0,4,9,98500.0
360,Yunusobod,3,67.0,4,4,42000.0
361,Mirzo-Ulugbek,4,95.0,5,5,50000.0
362,Yunusobod,2,62.0,4,9,55000.0
363,Yakkasaroy,3,75.0,10,16,70000.0
364,Yakkasaroy,3,70.0,6,6,81999.0
365,Yashnobod,2,59.0,2,7,22534.0
366,Yunusobod,2,55.0,1,9,43000.0
367,Yunusobod,2,59.0,5,5,37000.0
368,Chilonzor,2,44.0,4,4,29500.0
369,Shayxontohur,2,30.0,3,3,38500.0
370,Yakkasaroy,2,56.0,2,5,38000.0
371,Uchtepa,3,60.0,4,4,40000.0
372,Mirobod,2,70.0,3,4,83000.0
373,Mirzo-Ulugbek,2,64.0,4,5,34500.0
374,Chilonzor,3,100.0,1,12,57000.0
375,Chilonzor,3,68.0,2,4,50000.0
376,Yunusobod,4,115.0,3,9,64000.0
377,Mirzo-Ulugbek,2,60.0,4,4,34000.0
378,Mirzo-Ulugbek,5,100.0,4,4,48000.0
379,Mirzo-Ulugbek,2,50.0,2,4,32500.0
380,Mirobod,3,105.0,7,9,125000.0
381,Mirzo-Ulugbek,2,70.0,4,7,87000.0
382,Mirzo-Ulugbek,5,137.0,3,7,105000.0
383,Yashnobod,1,36.0,4,9,26000.0
384,Yakkasaroy,2,52.0,1,3,55000.0
385,Yangihayot,2,47.14,4,4,28000.0
386,Chilonzor,3,65.0,1,5,45000.0
387,Mirzo-Ulugbek,4,130.0,6,9,115000.0
388,Mirzo-Ulugbek,4,110.0,4,6,125000.0
389,Yakkasaroy,2,61.0,2,9,53000.0
390,Mirobod,2,40.0,1,1,23500.0
391,Yakkasaroy,3,75.0,7,9,62000.0
392,Chilonzor,2,54.0,4,4,37500.0
393,Yunusobod,2,64.0,3,4,54962.0
394,Chilonzor,1,30.0,3,4,31000.0
395,Chilonzor,3,68.0,4,4,46500.0
396,Yunusobod,2,50.0,1,4,38000.0
397,Mirobod,2,44.0,6,9,60000.0
398,Mirzo-Ulugbek,1,35.0,2,2,20600.0
399,Yakkasaroy,3,70.0,4,5,68500.0
400,Mirzo-Ulugbek,1,46.0,1,5,33000.0
401,Mirzo-Ulugbek,3,71.0,4,4,40200.0
402,Chilonzor,1,50.0,5,5,21500.0
403,Yakkasaroy,1,43.0,6,16,34000.0
404,Yunusobod,2,60.0,9,9,32000.0
405,Yunusobod,2,60.0,1,4,31999.0
406,Yunusobod,2,57.0,4,4,32000.0
407,Yunusobod,3,75.0,4,9,80000.0
408,Yunusobod,2,62.0,4,4,33000.0
409,Yakkasaroy,2,43.0,6,16,34000.0
410,Chilonzor,2,48.0,1,4,34000.0
411,Yunusobod,3,70.0,1,9,68000.0
412,Yunusobod,2,54.0,2,4,33000.0
413,Yunusobod,2,50.0,4,4,33500.0
414,Yunusobod,2,50.0,2,4,33500.0
415,Chilonzor,2,60.0,2,9,36000.0
416,Chilonzor,2,60.0,1,9,41500.0
417,Chilonzor,2,68.0,1,4,41000.0
418,Chilonzor,2,50.0,1,5,34500.0
419,Chilonzor,2,50.0,4,4,32500.0
420,Chilonzor,2,60.0,4,5,38000.0
421,Yunusobod,4,122.0,8,9,134000.0
422,Yakkasaroy,3,88.0,5,5,45500.0
423,Yakkasaroy,4,118.0,8,12,102711.0
424,Yunusobod,2,55.0,1,3,42500.0
425,Yunusobod,2,60.0,4,4,34000.0
426,Yakkasaroy,2,47.0,4,4,47500.0
427,Yunusobod,2,78.0,1,9,34000.0
428,Yakkasaroy,2,62.0,8,9,42000.0
429,Yunusobod,2,50.0,4,4,34000.0
430,Yunusobod,2,60.0,4,4,34000.0
431,Yunusobod,2,60.0,3,4,34500.0
432,Yunusobod,2,78.0,1,9,33998.0
433,Yunusobod,2,50.0,4,4,34000.0
434,Yunusobod,2,60.0,4,4,34000.0
435,Yashnobod,3,75.0,5,9,64700.0
436,Yunusobod,4,82.0,1,4,85500.0
437,Chilonzor,1,36.0,1,5,25500.0
438,Chilonzor,1,36.0,2,5,28500.0
439,Chilonzor,1,42.0,4,4,28000.0
440,Chilonzor,1,46.0,2,5,31500.0
441,Chilonzor,2,50.0,1,5,36000.0
442,Yakkasaroy,3,75.0,5,9,55000.0
443,Chilonzor,3,75.0,9,9,60000.0
444,Yunusobod,2,64.0,5,9,37000.0
445,Yakkasaroy,2,60.0,4,9,47000.0
446,Yunusobod,4,90.0,4,4,53000.0
447,Mirzo-Ulugbek,4,86.0,3,5,50000.0
448,Mirzo-Ulugbek,3,72.0,1,4,46000.0
449,Uchtepa,5,105.0,7,9,85000.0
450,Yakkasaroy,1,34.0,2,4,29000.0
451,Mirzo-Ulugbek,1,28.0,1,4,21500.0
452,Chilonzor,2,47.0,4,4,35500.0
453,Chilonzor,2,42.0,1,4,39600.0
454,Chilonzor,3,110.0,2,8,160000.0
455,Mirobod,1,40.0,2,9,42000.0
456,Chilonzor,2,50.0,4,4,40500.0
457,Chilonzor,1,29.0,4,4,24500.0
458,Chilonzor,2,42.0,4,4,34000.0
459,Chilonzor,2,42.0,3,4,36999.0
460,Chilonzor,3,65.0,4,5,30000.0
461,Yunusobod,3,65.0,3,5,45000.0
462,Chilonzor,2,45.0,3,5,26000.0
463,Mirzo-Ulugbek,4,90.0,3,4,133000.0
464,Mirzo-Ulugbek,4,86.0,4,5,60000.0
465,Mirzo-Ulugbek,2,40.0,4,4,34000.0
466,Chilonzor,1,35.0,2,4,20000.0
467,Olmazor,5,100.0,1,4,71000.0
468,Yakkasaroy,2,78.0,4,8,100000.0
469,Yakkasaroy,1,20.0,2,4,14500.0
470,Olmazor,2,40.0,3,4,27500.0
471,Shayxontohur,3,75.0,2,4,55000.0
472,Mirobod,3,90.0,7,9,92000.0
473,Mirzo-Ulugbek,2,137.0,2,6,125000.0
474,Mirobod,4,152.0,4,9,140000.0
475,Mirobod,3,90.0,3,5,105000.0
476,Yakkasaroy,2,55.0,3,4,41000.0
477,Mirzo-Ulugbek,3,90.0,2,9,51000.0
478,Chilonzor,2,48.0,3,4,43000.0
479,Mirzo-Ulugbek,3,78.0,5,5,39000.0
480,Yakkasaroy,1,38.0,2,5,25600.0
481,Chilonzor,3,70.0,3,5,68000.0
482,Mirzo-Ulugbek,2,50.0,1,4,30000.0
483,Chilonzor,2,55.0,4,4,39000.0
484,Chilonzor,4,90.0,5,9,50000.0
485,Chilonzor,1,37.0,1,4,25500.0
486,Mirzo-Ulugbek,3,80.0,3,4,120000.0
487,Chilonzor,4,105.0,7,9,95000.0
488,Uchtepa,1,45.0,5,9,27000.0
489,Chilonzor,2,42.0,1,4,36800.0
490,Mirzo-Ulugbek,2,40.0,1,3,26000.0
491,Chilonzor,1,29.0,2,4,24200.0
492,Uchtepa,3,72.0,5,5,45000.0
493,Mirzo-Ulugbek,2,40.0,5,5,31500.0
494,Yunusobod,3,78.0,4,4,55000.0
495,Chilonzor,3,70.0,4,5,32000.0
496,Chilonzor,3,74.0,5,9,74000.0
497,Chilonzor,2,55.0,3,4,26000.0
498,Mirzo-Ulugbek,2,60.0,6,9,34000.0
499,Yakkasaroy,1,33.0,2,4,22000.0
500,Mirzo-Ulugbek,2,60.0,1,5,46000.0
501,Mirzo-Ulugbek,2,58.0,2,9,42000.0
502,Chilonzor,3,68.0,2,4,61000.0
503,Chilonzor,3,67.0,2,4,47000.0
504,Mirzo-Ulugbek,2,77.0,4,4,65000.0
505,Olmazor,2,50.0,2,4,30000.0
506,Yangihayot,2,57.0,3,7,35000.0
507,Mirzo-Ulugbek,3,70.0,4,4,44998.0
508,Yunusobod,2,60.0,7,9,35000.0
509,Yunusobod,2,57.0,4,9,36000.0
510,Yunusobod,2,57.0,4,9,35999.0
511,Yunusobod,2,58.0,2,5,36500.0
512,Yunusobod,2,68.0,9,9,36500.0
513,Mirzo-Ulugbek,3,70.0,5,5,47000.0
514,Mirzo-Ulugbek,3,97.0,9,9,55290.0
515,Mirzo-Ulugbek,2,67.0,9,9,38190.0
516,Mirzo-Ulugbek,2,56.0,3,5,32000.0
517,Uchtepa,2,42.0,4,5,28500.0
518,Mirzo-Ulugbek,2,60.0,8,9,40000.0
519,Yakkasaroy,2,86.0,6,8,75000.0
520,Chilonzor,1,30.0,2,4,20200.0
521,Chilonzor,2,51.0,2,4,23200.0
522,Shayxontohur,3,90.0,4,9,105000.0
523,Uchtepa,1,30.0,2,4,20200.0
524,Chilonzor,2,51.0,3,5,24200.0
525,Chilonzor,3,64.0,2,5,35200.0
526,Chilonzor,2,51.0,2,4,25200.0
527,Chilonzor,1,30.0,2,4,22200.0
528,Chilonzor,2,51.0,3,4,26200.0
529,Yunusobod,2,50.0,3,4,36500.0
530,Yashnobod,2,66.0,1,5,28000.0
531,Yunusobod,2,56.0,4,4,37000.0
532,Yunusobod,2,57.0,3,9,37000.0
533,Yashnobod,1,40.0,5,8,13700.0
534,Yunusobod,2,71.0,4,5,38000.0
535,Yunusobod,2,58.0,3,5,38000.0
536,Olmazor,4,125.0,1,3,80000.0
537,Mirobod,2,40.0,1,1,22500.0
538,Yakkasaroy,2,60.0,4,4,45500.0
539,Mirzo-Ulugbek,4,92.0,4,5,52000.0
540,Yunusobod,2,54.0,1,4,38500.0
541,Mirzo-Ulugbek,4,91.0,3,5,50000.0
542,Yashnobod,1,21.0,3,4,14700.0
543,Uchtepa,3,72.0,1,9,44300.0
544,Yunusobod,2,48.0,3,4,38999.0
545,Shayxontohur,3,104.0,3,9,60000.0
546,Yashnobod,2,65.0,6,9,53000.0
547,Yashnobod,2,65.0,5,5,64999.0
548,Mirzo-Ulugbek,2,62.0,5,5,36500.0
549,Mirzo-Ulugbek,2,50.0,5,5,35000.0
550,Olmazor,4,86.0,5,5,55000.0
551,Yunusobod,2,50.0,4,4,33500.0
552,Mirzo-Ulugbek,2,56.0,2,4,37000.0
554,Mirzo-Ulugbek,2,60.0,2,5,38200.0
555,Chilonzor,3,84.0,2,5,46000.0
556,Mirzo-Ulugbek,2,62.0,4,4,38500.0
557,Yunusobod,2,56.0,4,5,39000.0
558,Yangihayot,4,96.0,9,9,34500.0
559,Yunusobod,2,63.0,2,5,39999.0
